               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023589,            0.036098,           0.0032108,             0.97406,              0.9519,             0.94677,              0.7738,            0.017534,            0.020783,           0.0029877,            0.006535,            0.006535,            0.006535
                  37,            0.023843,            0.034453,           0.0029905,             0.97601,             0.95191,             0.94607,             0.77698,             0.01876,            0.021356,           0.0029399,            0.006436,            0.006436,            0.006436
                  38,            0.022055,            0.034875,           0.0029841,             0.97787,             0.95192,             0.95635,             0.80518,            0.015471,            0.020746,           0.0028871,            0.006337,            0.006337,            0.006337
                  39,            0.023855,            0.036167,           0.0030412,             0.97789,             0.95192,              0.9515,             0.78764,            0.015231,            0.021184,           0.0030244,            0.006238,            0.006238,            0.006238
                  40,            0.022777,            0.035748,           0.0030593,             0.97934,             0.94911,             0.94722,             0.77297,            0.016596,            0.021562,           0.0029166,            0.006139,            0.006139,            0.006139
                  41,            0.022972,            0.036126,           0.0029596,             0.97466,             0.95193,              0.9514,             0.78469,            0.016289,            0.020767,           0.0029309,             0.00604,             0.00604,             0.00604
                  42,            0.022276,            0.032534,           0.0027163,             0.98188,             0.93491,              0.9477,             0.78763,            0.016179,              0.0204,           0.0030614,            0.005941,            0.005941,            0.005941
                  43,            0.022164,            0.034674,            0.002589,             0.98029,             0.95097,             0.95336,             0.79112,            0.015235,            0.020067,           0.0026843,            0.005842,            0.005842,            0.005842
                  44,            0.021138,            0.032799,           0.0029117,             0.97985,             0.94643,             0.95018,             0.81403,            0.014299,            0.020234,           0.0028446,            0.005743,            0.005743,            0.005743
                  45,            0.020692,            0.033916,           0.0026052,             0.97672,             0.95159,             0.94931,              0.7868,            0.015743,            0.020485,           0.0028807,            0.005644,            0.005644,            0.005644
                  46,            0.021788,            0.035738,           0.0028895,             0.97199,             0.95192,              0.9487,             0.81516,             0.01431,            0.018981,           0.0027571,            0.005545,            0.005545,            0.005545
                  47,            0.019683,            0.032698,            0.002512,             0.98113,             0.95185,             0.95147,             0.81894,            0.014609,            0.019138,           0.0026205,            0.005446,            0.005446,            0.005446
                  48,             0.02028,            0.033561,           0.0026912,             0.98052,             0.95166,             0.95387,             0.81534,            0.013979,            0.018596,           0.0026984,            0.005347,            0.005347,            0.005347
                  49,            0.019616,            0.031893,           0.0026681,             0.98086,             0.95138,             0.95634,             0.82302,            0.014583,            0.019546,           0.0025946,            0.005248,            0.005248,            0.005248
                  50,            0.020578,            0.033478,           0.0027144,             0.97866,             0.95194,             0.95766,             0.83973,            0.013387,            0.018977,           0.0026341,            0.005149,            0.005149,            0.005149
                  51,            0.019629,            0.033012,           0.0024693,             0.98425,             0.93326,             0.95553,             0.82674,            0.014684,            0.020321,           0.0024365,             0.00505,             0.00505,             0.00505
                  52,            0.019966,            0.032091,             0.00258,             0.98401,             0.93431,             0.94999,             0.81065,            0.015094,            0.020709,           0.0027187,            0.004951,            0.004951,            0.004951
                  53,            0.018457,            0.031246,           0.0024647,             0.97574,              0.9519,             0.95256,             0.83151,             0.01439,            0.020177,            0.002808,            0.004852,            0.004852,            0.004852
                  54,            0.018868,            0.032012,           0.0023478,             0.97342,             0.95172,             0.94997,             0.82632,            0.013558,            0.019205,           0.0027691,            0.004753,            0.004753,            0.004753
                  55,              0.0188,            0.031381,           0.0024854,             0.97663,             0.95192,             0.94867,             0.80965,            0.014081,            0.019555,           0.0028616,            0.004654,            0.004654,            0.004654
                  56,             0.01819,            0.030407,           0.0023149,             0.97749,             0.95192,             0.95423,             0.81781,            0.013483,            0.019125,           0.0027855,            0.004555,            0.004555,            0.004555
                  57,            0.017859,            0.029628,           0.0021787,             0.97941,             0.95194,             0.95467,              0.8207,            0.012729,            0.017699,           0.0028168,            0.004456,            0.004456,            0.004456
                  58,            0.016748,            0.029291,           0.0024589,             0.97677,              0.9519,              0.9526,             0.81894,            0.013164,            0.018651,           0.0028632,            0.004357,            0.004357,            0.004357
                  59,            0.015886,            0.027109,           0.0024331,             0.97819,             0.95193,             0.95512,             0.82715,            0.012839,            0.019192,           0.0026868,            0.004258,            0.004258,            0.004258
                  60,            0.016839,            0.029593,           0.0022359,             0.97616,             0.95193,             0.95252,             0.83626,            0.011958,            0.019508,           0.0026133,            0.004159,            0.004159,            0.004159
                  61,              0.0167,            0.030788,           0.0021617,             0.97756,             0.94568,             0.95324,             0.82314,            0.012245,            0.018281,           0.0028408,             0.00406,             0.00406,             0.00406
                  62,            0.016793,            0.030088,           0.0021541,             0.97582,              0.9519,             0.95313,             0.83001,            0.012948,            0.018838,           0.0026763,            0.003961,            0.003961,            0.003961
